Country Name,Collective Security Treaty Organization (CSTO),European Union,Lublin Triangle,North Atlantic Treaty Organization (NATO),Union State
Albania,0,0,0,1,0
Armenia,1,0,0,0,0
Austria,0,1,0,0,0
Belarus,1,0,0,0,1
Belgium,0,1,0,1,0
Bulgaria,0,1,0,1,0
Canada,0,0,0,1,0
Croatia,0,1,0,1,0
Cyprus,0,1,0,0,0
Czechia,0,1,0,1,0
Denmark,0,1,0,1,0
Estonia,0,1,0,1,0
Finland,0,1,0,0,0
France,0,1,0,1,0
Germany,0,1,0,1,0
Greece,0,1,0,1,0
Hungary,0,1,0,1,0
Iceland,0,0,0,1,0
Ireland,0,1,0,0,0
Italy,0,1,0,1,0
Kazakhstan,1,0,0,0,0
Kyrgyzstan,1,0,0,0,0
Latvia,0,1,0,1,0
Lithuania,0,1,1,1,0
Luxembourg,0,1,0,1,0
Malta,0,1,0,0,0
Montenegro,0,0,0,1,0
Netherlands,0,1,0,1,0
North Macedonia,0,0,0,1,0
Norway,0,0,0,1,0
Poland,0,1,1,1,0
Portugal,0,1,0,1,0
Romania,0,1,0,1,0
Russia,1,0,0,0,1
Slovakia,0,1,0,1,0
Slovenia,0,1,0,1,0
Spain,0,1,0,1,0
Sweden,0,1,0,0,0
Tajikistan,1,0,0,0,0
Turkey,0,0,0,1,0
Ukraine,0,0,1,0,0
United Kingdom,0,0,0,1,0
United States,0,0,0,1,0
